Institution,Control,State,Category
Coastal Carolina University,Public,SC,<a href="https://www.coastal.edu/coastal-now/news/advisory/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Colby College,Private,ME,<a href="https://www.cnbc.com/2020/05/13/colby-college-trustee-bob-diamond-delaying-fall-semester-possible-to-ensure-in-person-class.html" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Colgate University,Private,NY,<a href="https://www.colgate.edu/about/offices-centers-institutes/dean-college/student-health-services/covid-19-information-and-5-19" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
College for Creative Studies,Private,MI,<a href="https://www.chancellor.pitt.edu/spotlight/planning-process-check" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
College of Alameda,Public,CA,<a href="https://alameda.peralta.edu/announcement/coronavirus-update-for-peralta-students-and-employees/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
College of Idaho,Private,ID,<a href="https://www.collegeofidaho.edu/sites/default/files/inline-files/Fall%20Intent%20Letter%20FINAL%205.1.20.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
College of New Jersey,Public,NJ,<a href="https://emergency.tcnj.edu/2020/04/24/updates-on-spring-2020-tuition-fall-2020-operations-and-federal-emergency-grants-for-students/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
College of Our Lady of the Elms,Private,MA,<a href="https://www.masslive.com/coronavirus/2020/05/elms-college-announces-intent-to-end-coronavirus-shutdown-and-reopen-chicopee-campus-by-fall-semester.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
College of Saint Benedict,Private,MN,<a href="https://semo.edu/sealerts/pdf/5-27-20UpdateFromPresidentVargas.pdf" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
College of San Mateo,Public,CA,<a href="https://covid-19.smccd.edu/san-mateo-county-community-college-district-courses-go-mainly-online-for-summer-and-fall-terms/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
College of the Atlantic,Private,ME,<a href="https://bangordailynews.com/2020/05/07/news/hancock/college-of-the-atlantic-latest-to-plan-fall-reopening/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
College of the Desert,Public,CA,<a href="http://www.collegeofthedesert.edu/newsroom/Pages/Summer-and-fall-2020-classes-move-online.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
College of the Holy Cross,Private,MA,<a href="https://www.holycross.edu/2019-novel-coronavirus-covid-19-information" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
College of William & Mary,Public,VA,<a href="https://www.wm.edu/about/administration/emergency/current_issues/coronavirus/students/faqs/index.php#fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
College of William & Mary ,Public,VA,<a href="https://www.washingtonpost.com/education/2020/06/12/william-mary-bring-students-back-fall-term-amid-pandemic/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
