Institution,Control,State,Category
College of Wooster,Private,OH,<a href="https://wooster.edu/campus/health-safety/corona-virus-info/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Colorado Christian University,Private,CO,<a href="https://www.ccu.edu/coronavirus/#mostrecent" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Colorado College,Private,CO,<a href="https://us8.campaign-archive.com/?u=a2ffa14c4a3c79ddcc1b20faa&amp;id=f04705d2c2" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Colorado Mesa University,Public,CO,<a href="https://covid19.rpi.edu/announcements/hands-experiences" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Colorado School of Mines,Public,CO,<a href="https://www.mines.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Colorado State University,Public,CO,<a href="https://safety.colostate.edu/fall-2020-framework/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Columbia College,Private,SC,<a href="https://www.columbiasc.edu/president-mitchell-announces-fall-2020-opening" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Columbia College,Private,MO,<a href="https://www.columbiamissourian.com/news/covid19/columbia-college-to-resume-on-campus-classes-aug-31/article_abb52cdc-a1c1-11ea-a244-0711d29238c9.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Columbia College Chicago,Private,IL,<a href="https://www.colum.edu/coronavirus-info/index" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Columbia International University,Private,SC,<a href="https://www.ciu.edu/covid19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Columbia University,Private,NY,<a href="https://president.columbia.edu/news/update-research-and-next-academic-year" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Community College of Allegheny County,Public,PA,<a href="https://www.ccac.edu/security/coronavirus-covid-19.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Community College of Philadelphia,Public,PA,<a href="https://www.inquirer.com/education/community-college-fall-classes-coronavirus-online-20200526.html" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Concord University,Public,WV,<a href="https://www.youtube.com/watch?v=ELSG-uY30t0" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Concordia University Ann Arbor,Private,MI,<a href="https://www.cuaa.edu/landingpages/covid19/index.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Concordia University Chicago,Private,IL,<a href="https://www.cuchicago.edu/news/2020/05/president-dawn-announces-fall-operations-update/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Concordia University Irvine,Private,CA,<a href="https://www.cui.edu/en-us/studentlife/wellness-center/communication-to-cui-community-on-coronavirus-disease-2019-covid19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Concordia University Nebraska,Private,NE,<a href="https://www.cune.edu/news/fall-2020-semester-start-early" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Concordia University St. Paul,Private,MN,<a href="https://www.csp.edu/news/concordia-st-paul-welcomes-students-back-to-campus-fall-2020/?fbclid=IwAR3FPR6FD5vbZtCz1bUOd_8vVvPbh3Cevenf6hmKcWeEEiOUp2RTIOH5xYg" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Concordia University Texas,Private,TX,<a href="https://www.concordia.edu/blog/announcements-for-fall-2020.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Concordia University Wisconsin,Private,WI,<a href="https://www.cuw.edu/landingpages/covid19/index.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Converse College,Private,SC,<a href="https://www.converse.edu/converse-announces-2020-commencement-summer-sessions-and-fall-term-updates/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Cornell College,Private,IA,<a href="https://www.cornellcollege.edu/block/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Cornell University,Private,NY,<a href="https://cornellsun.com/2020/04/22/pollack-no-update-on-plans-for-fall-semester-expected-until-june-cornell-anticipates-hundreds-of-millions-in-losses/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Cornerstone University,Private,MI,<a href="https://www.cornerstone.edu/why-cornerstone-university/campus-locations/university-offices/health-services/coronavirus-information/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Cornish College of the Arts,Private,WA,<a href="https://www.cornish.edu/novel-coronavirus-covid-19-information-resources/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Cottey College,Private,MO,<a href="https://cottey.edu/2020/05/cottey-college-plans-for-in-person-classes-in-the-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Covenant College,Private,GA,<a href="https://www.covenant.edu/covid19/05.02.2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Crafton Hills College,Public,CA,<a href="https://www.craftonhills.edu/features/covid-19-response-resources/5-8-20-sbccd-update-on-summer-and-fall-2020.php" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Creighton University,Private,NE,<a href="https://www.creighton.edu/about/covid-19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Culinary Institute of America,Private,NY,<a href="https://www.ciachef.edu/ny-fall-2020-accepted-students-faqs/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Cuyahoga Community College,Public,OH,<a href="https://www.tri-c.edu/administrative-departments/business-continuity/covid-19/faculty-resources/index.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Cypress College,Public,CA,<a href="https://www.cypresscollege.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Dabney S. Lancaster Community College,Public,VA,<a href="https://www.dslcc.edu/dslcc-health-safety" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Daemen College,Private,NY,<a href="https://www.daemen.edu/sites/default/files/documents/Letter-to-Campus-05182020.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Dallas Baptist University,Private,TX,<a href="https://www.dbu.edu/news/2020/05/dbu-proceeds-with-fall-2020-classes.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Dallas County Community College District,Public,TX,<a href="https://www.dcccd.edu/au/news-media/coronavirus/faq/pages/default.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Dartmouth College,Private,NH,<a href="https://www.thedartmouth.com/article/2020/04/college-students-prepare-for-remote-summer-term-fall-plans-remain-uncertain" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Davenport University,Private,MI,<a href="https://www.davenport.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Davidson College,Private,NC,<a href="https://www.davidson.edu/alert/covid-19" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
De Anza College,Public,CA,<a href="https://www.deanza.edu/schedule/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Denison University,Private,OH,<a href="https://denison.edu/campus/covid19/remote-learning" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
DePaul University,Private,IL,<a href="https://resources.depaul.edu/newsline/sections/campus-and-community/Pages/Plans-for-fall-quarter-reopening.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
DePauw University,Private,IN,<a href="https://www.depauw.edu/preparedness/depauws-fall-planning-and-new-leadership-course-may-8/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Diablo Valley College,Public,CA,<a href="https://www.dvc.edu/communication/schedules-and-catalogs/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Dickinson College,Private,PA,<a href="https://www.dickinson.edu/info/20051/global_study_and_engagement/3976/dickinson_college_updates_on_the_coronavirus/3" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
DigiPen Institute of Technology,Private,WA,<a href="https://www.digipen.edu/about/covid-19-update" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Doane University,Public,NE,<a href="https://www.doane.edu/news/doane-to-return-to-in-person-instruction-this-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Dominican University ,Private,IL,<a href="https://www.dom.edu/covid-19-alert/home/current-students" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Dominican University of California,Private,CA,<a href="https://www.dominican.edu/covid19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Donnelly College,Private,KS,<a href="https://www.donnelly.edu/news-events/news/1682029/donnelly-students-to-return-to-campus-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Dordt University,Private,IA,<a href="https://www.dordt.edu/news/52732" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Drake University,Private,IA,<a href="https://www.drake.edu/coronavirus/faq/admission/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Drew University,Private,NJ,<a href="http://www.drew.edu/1/emergency-information/coronavirus-disease-2019-covid-19/#faq-fall" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Drexel University,Private,PA,<a href="https://drexel.edu/now/archive/2020/June/Readying-campus-for-fall-return/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Drury University,Private,MO,<a href="https://www.drury.edu/mc/contact-marketing-and-communications" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Duke University,Private,NC,<a href="https://today.duke.edu/2020/04/coordinated-pandemic-response-duke-and-durham" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Duke University,Private,NC,<a href="https://today.duke.edu/2020/05/president-price-addresses-plans-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Duquesne University,Private,PA,<a href="https://covid19.duq.edu/news-and-updates/update-on-duquesne-university-planning-for-fall-semester-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Earlham College,Private,IN,<a href="https://earlham.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
East Carolina University,Public,NC,<a href="https://news.ecu.edu/2020/04/27/looking-forward-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
East Tennessee State University,Public,TN,<a href="https://www.columbiadailyherald.com/news/20200426/what-will-college-in-tennessee-look-like-in-fall" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Eastern Florida State College,Public,FL,<a href="https://www.easternflorida.edu/academics/class-schedule-search.cfm" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Eastern Illinois University,Public,IL,<a href="https://www.eiu.edu/covid/emails.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Eastern Michigan University,Public,MI,<a href="https://www.emich.edu/president/communications/campus-messages/2020-05-07.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Eastern Nazarene College,Private,MA,<a href="https://enc.edu/covid-19-information/message-from-president-connell-new-academic-year/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Eastern Washington University,Public,WA,<a href="https://www.ewu.edu/stories/online-first-maximum-flexibility-instruction-model-for-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Eckerd College,Private,FL,<a href="https://www.eckerd.edu/my/together/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Edinboro University,Public ,PA,<a href="https://www.yourerie.com/health/coronavirus/edinboro-university-sends-letter-to-employees-and-students-regarding-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Elmhurst College,Private,IL,<a href="https://www.elmhurst.edu/fall-term-2020-planning/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Elon University,Private,NC,<a href="https://www.elon.edu/u/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Embry-Riddle Aeronautical University,Private,AZ,<a href="https://news.erau.edu/headlines/embry-riddle-aeronautical-university-to-resume-face-to-face-instruction-on-june-30" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Embry-Riddle Aeronautical University,Private,FL,<a href="https://news.erau.edu/headlines/embry-riddle-aeronautical-university-to-resume-face-to-face-instruction-on-june-30" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Emerson College,Private,MA,<a href="https://today.emerson.edu/2020/06/10/fall-2020-reopening-plan/ " target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
